Tue Aug  1 11:20:29 2023    SandSimResults

         34531616 function calls in 46.161 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   46.161   46.161 {built-in method builtins.exec}
        1    0.000    0.000   46.161   46.161 <string>:1(<module>)
        1    0.146    0.146   46.161   46.161 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:465(UpdateScreen)
     1183    3.538    0.003   19.077    0.016 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:194(UpdateSpritePositions)
     1183    4.097    0.003   16.984    0.014 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:205(SimulateGrid)
  1234586    4.000    0.000    6.313    0.000 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:128(__init__)
      474    1.706    0.004    4.953    0.010 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1264.0_x64__qbz5n2kfra8p0\Lib\random.py:376(shuffle)
     1516    4.942    0.003    4.942    0.003 {method 'tick' of 'pygame.time.Clock' objects}
  1234586    2.509    0.000    4.714    0.000 C:\Users\m.raab.GG\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pygame\sprite.py:445(add)
    16562    2.243    0.000    4.512    0.000 C:\Users\m.raab.GG\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pygame\sprite.py:612(empty)
  4473428    3.785    0.000    3.785    0.000 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:72(get)
  2432825    2.399    0.000    3.392    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1264.0_x64__qbz5n2kfra8p0\Lib\random.py:235(_randbelow_with_getrandbits)
     1516    0.028    0.000    2.209    0.001 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:439(DrawGrid)
   264521    0.949    0.000    2.203    0.000 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:208(SimulateSand)
  1236102    1.854    0.000    1.854    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
    21224    0.098    0.000    1.823    0.000 C:\Users\m.raab.GG\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pygame\sprite.py:557(draw)
    35074    0.332    0.000    1.795    0.000 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:360(SimulateTNT)
    21224    1.081    0.000    1.582    0.000 {method 'blits' of 'pygame.surface.Surface' objects}
     1516    0.665    0.000    1.485    0.001 c:\Users\m.raab.GG\Documents\GitHub\SandSim\SandSim.py:113(draw)
  1234056    0.996    0.000    1.246    0.000 C:\Users\m.raab.GG\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pygame\sprite.py:407(remove_internal)
